site,treatment,GrwSeas,Time,biomassC,TotalSoilN,leafArea,soilPotential,VPD
CAX,Ca,Y,0,25774.3360199434,1216.90894352661,3.74834007718865,-0.425779968821491,4.48873058599223e-4
CAX,Ca,Y,365,25774.336091521,1216.90895222898,3.74834000174805,-0.425780001971169,0.001862361640297
CAX,Ca,Y,730,25782.5337794553,1216.77846886392,3.77708088870024,-0.41522708090888,0.001862361640297
CAX,Ca,Y,1095,25803.4312940931,1216.44928172133,3.8246972109593,-0.399192274948573,0.001862361640297
CAX,Ca,Y,1460,25836.6172070962,1215.96140368725,3.87210183373717,-0.383652363235403,0.001862361640297
CAX,Ca,Y,1825,25880.9634315908,1215.34340733896,3.92178531276849,-0.367511067318997,0.001862361640297
CAX,Ca,Y,2190,25935.581958811,1214.61752736061,3.9721547214174,-0.351083353961285,0.001862361640297
CAX,Ca,Y,2555,25999.6632576178,1213.79989260247,4.02322182639392,-0.334362721040761,0.001862361640297
CAX,Ca,Y,2920,26072.9580722983,1212.90222785467,4.07541554679587,-0.317443483488026,0.001862361640297
CAX,Ca,Y,3285,26154.037860228502,1211.94912472346,4.12585110907832,-0.301208419960193,0.001862361640297
CAX,Ca,Y,3650,26242.0639440473,1210.95427743178,4.17532897910926,-0.285637713448687,0.001862361640297
CAX,Ca,Y,4015,26336.2800806634,1209.93319474769,4.22278981480107,-0.270633450572987,0.001862361640297
CAX,Ca,Y,4380,26436.0979191701,1208.89505942549,4.26955193968081,-0.256226302074207,0.001862361640297
CAX,Ca,Y,4745,26540.8067062428,1207.85047828751,4.31457688288156,-0.242827801754028,0.001862361640297
CAX,Ca,Y,5110,26649.7126137015,1206.81147812717,4.35742077060474,-0.230111038948191,0.001862361640297
CAX,Ca,Y,5475,26761.5756392219,1205.80217820451,4.39356490144452,-0.217981665961761,0.001862361640297
CAX,Ca,Y,5840,26875.4794921603,1204.82843736696,4.42579276276527,-0.206262633659153,0.001862361640297
CAX,Ca,Y,6205,26991.0701322905,1203.89102917785,4.4550445601087,-0.195148686897305,0.001862361640297
CAX,Ca,Y,6570,27107.424991219,1202.9970757059,4.48168685863571,-0.1846217720862,0.001862361640297
